DateTime,AddedIPs,RemovedIPs
1605590110,837,667
1605592809,1023,266
1605594611,405,81
1605597310,727,679
1605600008,742,666
1605602709,300,146
1605604508,359,207
1605607208,388,176
1605609908,646,465
1605612607,599,710
1605615306,801,733
1605618005,538,852
1605619806,638,634
1605622504,671,1063
1605625205,904,812
1605627005,574,440
1605629705,1225,471
1605632407,1140,522
1605634204,795,718
1605636905,789,969
1605639607,717,919
1605641407,809,596
1605644105,1303,829
1605646806,855,462
1605648606,298,248
1605651307,521,629
1605654006,576,1159
1605655806,514,764
1605658506,697,1009
1605661206,1025,822
1605663007,512,413
1605665706,1028,515
1605668406,897,1064
1605670206,282,441
1605672906,731,1271
1605675606,940,809
1605677405,596,431
1605680105,816,459
1605682805,1019,686
1605684605,669,416
1605687304,940,573
1605690004,1000,632
1605691805,526,387
1605694504,534,354
1605697205,486,413
1605699005,356,373
1605701705,463,424
1605704404,635,719
1605706204,635,337
1605708904,785,770
1605711605,562,543
1605713404,512,446
1605716104,632,879
1605718804,1011,967
1605720604,629,413
1605723305,1159,997
1605726004,1069,1377
1605727804,525,731
1605730503,590,904
1605733204,800,818
1605735004,391,587
1605737704,623,874
1605740405,391,768
1605742204,317,653
1605744904,647,806
1605747604,522,887
1605749405,527,1023
1605752104,817,1097
1605754805,490,789
1605756604,274,319
1605759305,542,482
1605762005,601,418
1605764705,823,578
1605766505,647,489
1605769204,962,520
1605771905,1004,455
1605773704,701,247
1605776405,888,502
1605778204,608,462
1605780904,603,520
1605783604,445,640
1605785405,547,619
1605788104,765,661
1605790804,1014,864
1605792605,679,520
1605795304,615,974
1605798005,526,1110
1605799804,396,815
1605802504,584,762
1605805205,619,949
1605807005,324,517
1605809705,717,720
1605812404,778,691
1605815105,547,1009
1605816904,400,1077
1605819605,525,1584
1605821406,444,619
1605824106,519,974
1605826806,792,1107
1605828606,427,758
1605831306,682,753
1605834006,1631,687
1605836706,2344,509
1605838506,1330,230
1605841206,752,409
1605843006,243,176
1605845705,366,455
1605848406,681,310
1605850206,516,154
1605852906,632,201
1605855606,538,310
1605858306,647,329
1605860106,489,349
1605862806,875,831
1605865506,690,1561
1605867306,458,1769
1605870006,505,1670
1605872704,711,510
1605874505,341,273
1605877204,351,788
1605879905,513,737
1605881704,347,620
1605884405,603,725
1605887104,502,651
1605888905,410,485
1605891605,882,636
1605894304,363,482
1605896104,575,321
1605898804,1477,246
1605901505,1406,556
1605903304,538,437
1605906004,487,453
1605908704,549,294
1605910505,237,302
1605913205,256,479
1605915004,178,380
1605917704,482,391
1605920404,518,646
1605923104,460,618
1605924904,179,577
1605927604,282,330
1605929405,155,5919
1605932104,4879,0
1605934805,463,1142
1605936604,318,2747
1605939304,2098,10
1605942004,462,461
1605944704,459,391
1605946504,1016,481
1605949204,791,431
1605951905,456,507
1605953704,296,439
1605956404,739,499
1605959104,977,347
1605960904,315,216
1605963605,475,398
1605966304,238,483
1605968104,192,401
1605970804,299,520
1605973505,576,622
1605975304,234,419
1605978005,426,2596
1605980706,352,3169
1605982506,294,1103
1605985208,338,392
1605987909,395,379
1605989709,614,264
1605992409,720,379
1605995112,569,916
1605996912,318,507
1605999614,535,560
1606002315,419,382
1606004114,402,229
1606006815,509,382
1606009515,577,658
1606012219,380,619
1606014920,392,549
1606017618,473,315
1606020317,545,282
1606023018,969,529
1606025719,870,323
1606028418,2042,991
1606031117,512,837
1606032919,173,107
1606035619,587,103
1606038316,593,87
1606041016,500,278
1606043714,546,307
1606046416,675,359
1606049113,457,604
1606050912,445,276
1606053612,555,326
1606056312,456,172
1606059011,378,72
1606061710,348,164
1606064410,344,392
1606067108,427,540
1606068907,240,441
1606071606,355,587
1606074305,381,556
1606076105,276,535
1606078804,541,418
1606081505,557,734
1606083305,437,412
1606086004,823,636
1606088704,1202,442
1606090504,725,328
1606093204,867,628
1606095906,1014,443
1606097705,516,331
1606100405,440,366
1606103105,550,574
1606105805,453,388
1606108505,589,415
1606111205,978,622
1606113905,1030,475
1606115705,657,733
1606118405,1092,908
1606121104,836,812
1606122905,558,349
1606125606,946,726
1606128305,1188,633
1606130105,848,346
1606132805,711,651
1606135505,674,432
1606137304,529,506
1606140005,809,1061
1606142704,826,1025
1606144504,530,609
1606147205,951,3286
1606149906,699,3008
1606151707,590,1050
1606154407,726,2359
1606157108,3320,1033
1606159810,2793,1139
1606162508,716,38
1606165210,865,57
1606167908,745,36
1606170608,635,32
1606173309,579,29
1606176007,454,29
1606178707,134,153
1606181407,309,88
1606184106,465,154
1606186806,787,86
1606189506,836,42
1606191304,708,33
1606194004,902,73
1606196705,1023,67
1606199404,798,544
1606202103,701,3542
1606204801,1063,1964
1606207501,532,619
1606210202,1709,797
